CODE_STATION;NOM_STATION;DATE_RELEVE;EVENEMENT;COTE;COTE_UNITE;VOLUME;VOLUME_UNITE;SURFACE;SURFACE_UNITE;DEBIT_IN;DEBIT_IN_UNITE;DEBIT_OUT;DEBIT_OUT_UNITE;EVAPORATION;EVAPORATION_UNITE;PLUVIOMETRIE;PLUVIOMETRIE_UNITE
34              ;Barrage du Salagou;08/10/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;09/10/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;10/10/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;11/10/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;12/10/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;13/10/69;Mise en eau;;m NGF;;;;;;;;;;;27;mm
34              ;Barrage du Salagou;14/10/69;Mise en eau;126;m NGF;;;;;;;;;;;52,2;mm
34              ;Barrage du Salagou;15/10/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;16/10/69;Mise en eau;126,36;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;17/10/69;Mise en eau;;m NGF;;;;;;;;;;;25,5;mm
34              ;Barrage du Salagou;18/10/69;Mise en eau;;m NGF;;;;;;;;;;;100,5;mm
34              ;Barrage du Salagou;19/10/69;Mise en eau;;m NGF;;;;;;;;;;;32;mm
34              ;Barrage du Salagou;20/10/69;Mise en eau;;m NGF;;;;;;;;;;;96,5;mm
34              ;Barrage du Salagou;21/10/69;Mise en eau;131,03;m NGF;;;;;;;;;;;8,5;mm
34              ;Barrage du Salagou;22/10/69;Mise en eau;131,35;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;23/10/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;24/10/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;25/10/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;26/10/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;27/10/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;28/10/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;29/10/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;30/10/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;31/10/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;01/11/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;02/11/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;03/11/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;04/11/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;05/11/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;06/11/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;07/11/69;Mise en eau;131,74;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;08/11/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;09/11/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;10/11/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;11/11/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;12/11/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;13/11/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;14/11/69;Mise en eau;131,78;m NGF;;;;;;;;;;;0;mm
